id,pipeline,schema_valid,bounds_safe,correct,payload_bytes,final_angle,latency_us
116,MTP_DSL,True,True,False,54,-18.7,7.151
116,RAW_LLM,True,True,True,60,-64.7,4.048
117,MTP_DSL,True,True,True,54,48.1,5.738
117,RAW_LLM,True,True,True,36,48.1,3.452
118,MTP_DSL,True,True,True,54,-16.2,6.022
118,RAW_LLM,True,True,True,37,-16.2,3.898
119,MTP_DSL,True,True,True,54,-42.2,8.879
119,RAW_LLM,True,True,True,83,-42.2,4.932
120,MTP_DSL,True,True,True,54,-90.0,5.251
120,RAW_LLM,False,False,False,39,-209.8,3.188
121,MTP_DSL,True,True,True,54,90.0,5.493
121,RAW_LLM,False,False,False,37,333.2,3.458
122,MTP_DSL,True,True,True,53,31.5,8.374
122,RAW_LLM,True,True,True,84,31.5,5.608
123,MTP_DSL,True,True,True,53,90.0,6.356
123,RAW_LLM,False,False,False,37,276.7,3.816
124,MTP_DSL,True,True,True,54,-76.5,5.639
124,RAW_LLM,True,True,True,35,-76.5,3.729
125,MTP_DSL,True,True,True,53,19.0,5.199
125,RAW_LLM,True,True,True,37,19.0,3.086
126,MTP_DSL,True,True,True,54,-50.8,5.99
126,RAW_LLM,True,True,True,37,-50.8,4.146
127,MTP_DSL,True,True,False,53,81.6,7.622
127,RAW_LLM,True,True,True,60,52.4,4.464
128,MTP_DSL,True,True,True,53,69.5,8.518
128,RAW_LLM,True,True,True,84,69.5,5.816
129,MTP_DSL,True,True,True,55,-42.6,7.648
129,RAW_LLM,True,True,True,85,-42.6,4.828
130,MTP_DSL,True,True,True,52,5.7,5.48
130,RAW_LLM,True,True,True,33,5.7,4.084
131,MTP_DSL,True,True,True,52,0.0,4.093
131,RAW_LLM,True,True,True,28,0.0,2.599
132,MTP_DSL,True,True,True,54,-90.0,5.454
132,RAW_LLM,False,False,False,39,-236.4,3.243
133,MTP_DSL,True,True,True,54,-32.6,5.817
133,RAW_LLM,True,True,True,35,-32.6,3.516
134,MTP_DSL,True,True,False,54,-48.4,7.708
134,RAW_LLM,True,True,True,62,-59.7,4.931
135,MTP_DSL,True,True,True,53,41.4,5.885
135,RAW_LLM,True,True,True,36,41.4,3.934
136,MTP_DSL,True,True,True,54,70.5,8.19
136,RAW_LLM,True,True,True,84,70.5,5.133
137,MTP_DSL,True,True,True,53,81.6,4.89
137,RAW_LLM,True,True,True,37,81.6,2.942
138,MTP_DSL,True,True,False,55,-20.7,7.234
138,RAW_LLM,True,True,True,62,-63.4,4.003
139,MTP_DSL,True,True,True,53,90.0,5.814
139,RAW_LLM,False,False,False,37,143.5,3.795
140,MTP_DSL,True,True,True,53,90.0,6.04
140,RAW_LLM,False,False,False,37,324.2,4.008
141,MTP_DSL,True,True,True,53,50.2,5.795
141,RAW_LLM,True,True,True,36,50.2,3.831
142,MTP_DSL,True,True,True,53,17.5,4.991
142,RAW_LLM,True,True,True,37,17.5,3.038
143,MTP_DSL,True,True,True,54,90.0,5.199
143,RAW_LLM,False,False,False,37,302.5,3.199
144,MTP_DSL,True,True,True,53,90.0,5.929
144,RAW_LLM,False,False,False,37,118.3,3.995
145,MTP_DSL,True,True,True,54,-37.9,8.912
145,RAW_LLM,True,True,True,85,-37.9,5.584
146,MTP_DSL,True,True,True,55,-90.0,5.854
146,RAW_LLM,False,False,False,38,-327.8,3.333
147,MTP_DSL,True,True,True,54,-19.4,5.907
147,RAW_LLM,True,True,True,37,-19.4,3.853
148,MTP_DSL,True,True,True,53,-9.8,7.587
148,RAW_LLM,True,True,True,85,-9.8,4.197
149,MTP_DSL,True,True,True,54,-44.5,5.551
149,RAW_LLM,True,True,True,35,-44.5,3.553
150,MTP_DSL,True,True,True,55,-43.7,5.655
150,RAW_LLM,True,True,True,37,-43.7,3.273
151,MTP_DSL,True,True,True,55,-71.8,5.267
151,RAW_LLM,True,True,True,37,-71.8,3.285
152,MTP_DSL,True,True,True,54,-90.0,5.201
152,RAW_LLM,False,False,False,39,-282.9,3.247
153,MTP_DSL,True,True,True,52,8.0,5.189
153,RAW_LLM,True,True,True,33,8.0,3.537
154,MTP_DSL,True,True,True,53,37.1,4.868
154,RAW_LLM,True,True,True,37,37.1,2.938
155,MTP_DSL,True,True,True,54,-33.0,5.888
155,RAW_LLM,True,True,True,35,-33.0,3.523
156,MTP_DSL,True,True,True,53,64.6,5.508
156,RAW_LLM,True,True,True,34,64.6,3.531
157,MTP_DSL,True,True,True,54,-82.7,8.627
157,RAW_LLM,True,True,True,83,-82.7,5.177
158,MTP_DSL,True,True,True,53,89.9,5.413
